School Year,State,Dist Code,District Name,Sch Code,School Name,P-12 Total,K-12 Total,PK Total,Full K Total,Half K Total,Gr 1 Total,Gr 2 Total,Gr 3 Total,Gr 4 Total,Gr 5 Total,Gr 6 Total,Gr 7 Total,Gr 8 Total,Gr 9 Total,Gr 10 Total,Gr 11 Total,Gr 12 Total
2017,WA,32326,Medical Lake School District,5042,Medical Lake Alternative High School,30,30,0,0,0,0,0,0,0,0,0,0,0,0,3,10,17
2017,WA,32326,Medical Lake School District,2890,Medical Lake High School,544,544,0,0,0,0,0,0,0,0,0,2,0,135,137,129,141
2017,WA,17400,Mercer Island School District,3029,Mercer Island High School,"1,500","1,500",0,0,0,0,0,0,0,0,0,0,0,370,412,378,340
2017,WA,37505,Meridian School District,2554,Meridian High School,517,517,0,0,0,0,0,0,0,0,0,0,0,126,135,132,124
2017,WA,31103,Monroe School District,4528,Monroe High School,"1,716","1,716",0,0,0,0,0,0,0,0,0,0,0,415,431,442,428
2017,WA,31103,Monroe School District,5154,Shoreline-Monroe High School,344,344,0,0,0,0,0,0,0,0,0,0,0,0,1,25,318
2017,WA,13161,Moses Lake School District,3215,Moses Lake High School,"2,419","2,419",0,0,0,0,0,0,0,0,0,0,0,624,575,603,617
2017,WA,21206,Mossyrock School District,3238,Mossyrock Jr./Sr. High School,206,206,0,0,0,0,0,0,0,0,0,40,27,35,42,28,34
2017,WA,39209,Mount Adams School District,2532,White Swan High School,241,241,0,0,0,0,0,0,0,0,0,0,0,61,56,62,62
2017,WA,29320,Mount Vernon School District,2295,Mount Vernon High School,"1,953","1,953",0,0,0,0,0,0,0,0,0,0,2,499,531,482,439
2017,WA,31006,Mukilteo School District,4247,ACES High School,186,186,0,0,0,0,0,0,0,0,0,0,0,0,14,51,121
2017,WA,31006,Mukilteo School District,4433,Kamiak High School,"2,104","2,104",0,0,0,0,0,0,0,0,0,0,0,532,533,518,521
2017,WA,31006,Mukilteo School District,3688,Mariner High School,"2,279","2,279",0,0,0,0,0,0,0,0,0,0,0,623,570,547,539
2017,WA,39003,Naches Valley School District,2591,Naches Valley High School,447,447,0,0,0,0,0,0,0,0,0,0,0,114,103,116,114
2017,WA,21014,Napavine School District,2273,Napavine Jr Sr High School,374,374,0,0,0,0,0,0,0,0,0,61,61,66,62,68,56
2017,WA,25155,Naselle-Grays River Valley School District,3295,Naselle Jr Sr High Schools,163,163,0,0,0,0,0,0,0,0,24,17,21,30,26,18,27
2017,WA,26056,Newport School District,2518,Newport High School,348,348,0,0,0,0,0,0,0,0,0,0,0,95,79,95,79
2017,WA,32325,Nine Mile Falls School District,4333,Lakeside High School,500,500,0,0,0,0,0,0,0,0,0,0,0,117,119,132,132
2017,WA,37506,Nooksack Valley School District,2459,Nooksack Valley High School,461,461,0,0,0,0,0,0,0,0,1,0,1,123,104,125,107
2017,WA,14064,North Beach School District,3788,North Beach Junior High School,106,106,0,0,0,0,0,0,0,0,0,56,50,0,0,0,0
2017,WA,14064,North Beach School District,2728,North Beach Senior High School,193,193,0,0,0,0,0,0,0,0,0,0,0,45,49,45,54
2017,WA,11051,North Franklin School District,3272,Connell High School,612,612,0,0,0,0,0,0,0,0,0,0,0,161,153,153,145
2017,WA,11051,North Franklin School District,1754,Palouse Junction High School,36,36,0,0,0,0,0,0,0,0,0,0,0,1,2,10,23
2017,WA,11051,North Franklin School District,2198,Robert L Olds Junior High School,339,339,0,0,0,0,0,0,0,0,0,178,161,0,0,0,0
2017,WA,18400,North Kitsap School District,5085,Kingston High School,769,769,0,0,0,0,0,0,0,0,0,0,0,165,213,192,199
2017,WA,18400,North Kitsap School District,3236,North Kitsap High School,"1,151","1,151",0,0,0,0,0,0,0,0,0,0,0,297,299,259,296
2017,WA,23403,North Mason School District,1680,James A. Taylor High School,36,36,0,0,0,0,0,0,0,0,0,0,0,1,3,10,22
2017,WA,23403,North Mason School District,3175,North Mason Senior High School,746,746,0,0,0,0,0,0,0,0,0,0,0,184,202,175,185
2017,WA,34003,North Thurston Public Schools,3010,North Thurston High School,"1,435","1,435",0,0,0,0,0,0,0,0,0,0,0,350,357,351,377
